major_code,major_name,major_course,total_students,employed_grad,employed_full_time_year_round,unemployed_grad,unemployment_rate,median_salary,p25th_salary,p75th_salary
1100.0,GENERAL AGRICULTURE,Agriculture & Natural Resources,128148.0,90245.0,74078.0,2423.0,0.03,50000.0,34000.0,80000.0
1101.0,AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture & Natural Resources,95326.0,76865.0,64240.0,2266.0,0.03,54000.0,36000.0,80000.0
1102.0,AGRICULTURAL ECONOMICS,Agriculture & Natural Resources,33955.0,26321.0,22810.0,821.0,0.03,63000.0,40000.0,98000.0
1103.0,ANIMAL SCIENCES,Agriculture & Natural Resources,103549.0,81177.0,64937.0,3619.0,0.04,46000.0,30000.0,72000.0
1104.0,FOOD SCIENCE,Agriculture & Natural Resources,24280.0,17281.0,12722.0,894.0,0.05,62000.0,38500.0,90000.0
1105.0,PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources,79409.0,63043.0,51077.0,2070.0,0.03,50000.0,35000.0,75000.0
1106.0,SOIL SCIENCE,Agriculture & Natural Resources,6586.0,4926.0,4042.0,264.0,0.05,63000.0,39400.0,88000.0
1199.0,MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources,8549.0,6392.0,5074.0,261.0,0.04,52000.0,35000.0,75000.0
1301.0,ENVIRONMENTAL SCIENCE,Biology & Life Science,106106.0,87602.0,65238.0,4736.0,0.05,52000.0,38000.0,75000.0
1302.0,FORESTRY,Agriculture & Natural Resources,69447.0,48228.0,39613.0,2144.0,0.04,58000.0,40500.0,80000.0
1303.0,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources,83188.0,65937.0,50595.0,3789.0,0.05,52000.0,37100.0,75000.0
1401.0,ARCHITECTURE,Engineering,294692.0,216770.0,163020.0,20394.0,0.09,63000.0,40400.0,93500.0
1501.0,AREA ETHNIC AND CIVILIZATION STUDIES,Humanities & Liberal Arts,103740.0,75798.0,50530.0,5525.0,0.07,46000.0,32000.0,71000.0
1901.0,COMMUNICATIONS,Communications & Journalism,987676.0,790696.0,595739.0,54390.0,0.06,50000.0,35000.0,80000.0
1902.0,JOURNALISM,Communications & Journalism,418104.0,314438.0,235407.0,20754.0,0.06,50000.0,35000.0,80000.0
1903.0,MASS MEDIA,Communications & Journalism,211213.0,170474.0,125489.0,15431.0,0.08,48000.0,32000.0,70000.0
1904.0,ADVERTISING AND PUBLIC RELATIONS,Communications & Journalism,186829.0,147433.0,111552.0,10624.0,0.07,50000.0,34000.0,75000.0
2001.0,COMMUNICATION TECHNOLOGIES,Computers & Mathematics,62141.0,49609.0,37261.0,4609.0,0.09,50000.0,34500.0,75000.0
2100.0,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics,253782.0,218248.0,189950.0,11945.0,0.05,65000.0,45000.0,90000.0
2101.0,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics,29317.0,22828.0,18747.0,2265.0,0.09,60000.0,40000.0,85000.0
2102.0,COMPUTER SCIENCE,Computers & Mathematics,783292.0,656372.0,561052.0,34196.0,0.05,78000.0,51000.0,105000.0
2105.0,INFORMATION SCIENCES,Computers & Mathematics,77805.0,66393.0,57604.0,3704.0,0.05,68000.0,46200.0,95000.0
2106.0,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics,39362.0,32366.0,28156.0,2626.0,0.08,55000.0,40000.0,80000.0
2107.0,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics,51771.0,44071.0,35954.0,2748.0,0.06,55000.0,36000.0,80000.0
2201.0,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services,42325.0,33388.0,25780.0,1941.0,0.05,40000.0,26200.0,60000.0
2300.0,GENERAL EDUCATION,Education,1438867.0,843693.0,591863.0,38742.0,0.04,43000.0,32000.0,59000.0
2301.0,EDUCATIONAL ADMINISTRATION AND SUPERVISION,Education,4037.0,3113.0,2468.0,0.0,0.0,58000.0,44750.0,79000.0
