major_code,major_name,major_course,grad_total,grad_sample_size,grad_employed,grad_full_time_year_round,grad_unemployed,grad_unemployment_rate,grad_median_salary,grad_p25th_salary,grad_p75th_salary,nongrad_total,nongrad_employed,nongrad_full_time_year_round,nongrad_unemployed,nongrad_unemployment_rate,nongrad_median_salary,nongrad_p25th_salary,nongrad_p75th_salary,grad_share,diff_salary
5601.0,CONSTRUCTION SERVICES,Industrial Arts & Consumer Services,9173.0,200.0,7098.0,6511.0,681.0,0.09,75000.0,53000.0,110000.0,86062.0,73607.0,62435.0,3928.0,0.05,65000.0,47000.0,98000.0,0.1,0.1538
6004.0,COMMERCIAL ART AND GRAPHIC DESIGN,Arts,53864.0,882.0,40492.0,29553.0,2482.0,0.06,60000.0,40000.0,89000.0,461977.0,347166.0,250596.0,25484.0,0.07,48000.0,34000.0,71000.0,0.1,0.25
6211.0,HOSPITALITY MANAGEMENT,Business,24417.0,437.0,18368.0,14784.0,1465.0,0.07,65000.0,45000.0,100000.0,179335.0,145597.0,113579.0,7409.0,0.05,50000.0,35000.0,75000.0,0.12,0.3
2201.0,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services,5411.0,72.0,3590.0,2701.0,316.0,0.08,47000.0,24500.0,85000.0,37575.0,29738.0,23249.0,1661.0,0.05,41600.0,29000.0,60000.0,0.13,0.1298
2001.0,COMMUNICATION TECHNOLOGIES,Computers & Mathematics,9109.0,171.0,7512.0,5622.0,466.0,0.06,57000.0,40600.0,83700.0,53819.0,43163.0,34231.0,3389.0,0.07,52000.0,36000.0,78000.0,0.14,0.0962
3201.0,COURT REPORTING,Law & Public Policy,1542.0,22.0,1008.0,860.0,0.0,0.0,75000.0,55000.0,120000.0,8921.0,6967.0,6063.0,518.0,0.07,50000.0,34000.0,75000.0,0.15,0.5
6206.0,MARKETING AND MARKETING RESEARCH,Business,190996.0,3738.0,151570.0,123045.0,8324.0,0.05,80000.0,50000.0,120000.0,1029181.0,817906.0,662346.0,45519.0,0.05,60000.0,40000.0,91500.0,0.16,0.3333
1101.0,AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture & Natural Resources,17488.0,386.0,13104.0,11207.0,473.0,0.03,67000.0,41600.0,100000.0,89169.0,71781.0,61335.0,1869.0,0.03,55000.0,38000.0,80000.0,0.16,0.2182
2101.0,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics,5611.0,98.0,4716.0,3981.0,119.0,0.02,85000.0,56000.0,114000.0,28314.0,22024.0,18381.0,2222.0,0.09,60000.0,40000.0,85000.0,0.17,0.4167
1904.0,ADVERTISING AND PUBLIC RELATIONS,Communications & Journalism,33928.0,688.0,28517.0,22523.0,899.0,0.03,60000.0,43000.0,90000.0,163435.0,127832.0,100330.0,8706.0,0.06,51000.0,37800.0,78000.0,0.17,0.1765
6005.0,FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts,24525.0,370.0,19059.0,13301.0,2035.0,0.1,57000.0,40000.0,80000.0,116158.0,93915.0,63674.0,8160.0,0.08,50000.0,32000.0,75000.0,0.17,0.14
5701.0,"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",Industrial Arts & Consumer Services,3187.0,45.0,1984.0,1481.0,319.0,0.14,62000.0,40000.0,100000.0,14842.0,11921.0,9949.0,653.0,0.05,50000.0,32400.0,75000.0,0.18,0.24
2504.0,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering,6065.0,111.0,4442.0,3669.0,310.0,0.07,78000.0,50000.0,103000.0,27999.0,23069.0,20418.0,998.0,0.04,61000.0,42000.0,85000.0,0.18,0.2787
1903.0,MASS MEDIA,Communications & Journalism,42915.0,828.0,35939.0,28054.0,1957.0,0.05,57000.0,41000.0,90000.0,190020.0,153722.0,117581.0,12816.0,0.08,50000.0,35000.0,72000.0,0.18,0.14
5901.0,TRANSPORTATION SCIENCES AND TECHNOLOGIES,Industrial Arts & Consumer Services,27410.0,538.0,20035.0,18088.0,980.0,0.05,90000.0,62000.0,124000.0,121260.0,94538.0,80650.0,4326.0,0.04,69000.0,45000.0,100000.0,0.18,0.3043
2107.0,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics,11165.0,218.0,9037.0,7988.0,803.0,0.08,80000.0,54000.0,110000.0,48776.0,41552.0,34402.0,2476.0,0.06,58000.0,37700.0,84000.0,0.19,0.3793
6299.0,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,Business,22553.0,408.0,17691.0,14807.0,865.0,0.05,75000.0,47000.0,106000.0,95860.0,72005.0,58441.0,3694.0,0.05,55000.0,38000.0,85000.0,0.19,0.3636
2599.0,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering,14816.0,315.0,12433.0,11146.0,407.0,0.03,80000.0,54000.0,105000.0,60571.0,50092.0,44199.0,3316.0,0.06,65000.0,43000.0,90000.0,0.2,0.2308
2503.0,INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering,19885.0,408.0,14752.0,12467.0,603.0,0.04,84500.0,60000.0,111000.0,81076.0,64389.0,56559.0,3431.0,0.05,70000.0,48000.0,99000.0,0.2,0.2071
6099.0,MISCELLANEOUS FINE ARTS,Arts,1733.0,27.0,1100.0,770.0,44.0,0.04,55000.0,40000.0,76000.0,7044.0,5220.0,3556.0,1001.0,0.16,46000.0,30000.0,60000.0,0.2,0.1957
5301.0,CRIMINAL JUSTICE AND FIRE PROTECTION,Law & Public Policy,188228.0,3794.0,154146.0,133549.0,6591.0,0.04,68000.0,45000.0,100000.0,695361.0,565748.0,490943.0,29133.0,0.05,52000.0,36000.0,75000.0,0.21,0.3077
6203.0,BUSINESS MANAGEMENT AND ADMINISTRATION,Business,813399.0,16129.0,622357.0,527935.0,32089.0,0.05,77000.0,50000.0,115000.0,2996892.0,2253649.0,1882507.0,136978.0,0.06,60000.0,40000.0,88000.0,0.21,0.2833
5503.0,CRIMINOLOGY,Social Science,18499.0,381.0,14584.0,12074.0,692.0,0.05,65000.0,44000.0,98000.0,67082.0,53419.0,45563.0,3189.0,0.06,50000.0,35000.0,75000.0,0.22,0.3
6212.0,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,Business,41970.0,963.0,36227.0,32121.0,1459.0,0.04,89000.0,64500.0,116000.0,150110.0,129179.0,115177.0,5690.0,0.04,72000.0,50000.0,100000.0,0.22,0.2361
2106.0,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics,10290.0,194.0,8554.0,7581.0,542.0,0.06,81000.0,54000.0,109000.0,35883.0,29740.0,26303.0,2102.0,0.07,60000.0,41600.0,80000.0,0.22,0.35
6204.0,OPERATIONS LOGISTICS AND E-COMMERCE,Business,15056.0,335.0,12659.0,10861.0,296.0,0.02,94000.0,64000.0,131000.0,52043.0,43074.0,38454.0,1827.0,0.04,66000.0,46800.0,92000.0,0.22,0.4242
6200.0,GENERAL BUSINESS,Business,602964.0,10399.0,457191.0,387928.0,19494.0,0.04,85000.0,52000.0,130000.0,2056867.0,1510380.0,1264413.0,77999.0,0.05,60000.0,40000.0,98000.0,0.23,0.4167
6105.0,MEDICAL TECHNOLOGIES TECHNICIANS,Health,47029.0,942.0,37639.0,29892.0,987.0,0.03,76000.0,55000.0,112000.0,159438.0,117087.0,89592.0,4193.0,0.03,60000.0,45900.0,77000.0,0.23,0.2667
2100.0,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics,71527.0,1425.0,60858.0,53807.0,2539.0,0.04,80000.0,55000.0,104000.0,242194.0,209994.0,184959.0,10439.0,0.05,65000.0,45000.0,90000.0,0.23,0.2308
1901.0,COMMUNICATIONS,Communications & Journalism,266084.0,4879.0,212156.0,159049.0,10851.0,0.05,65000.0,45000.0,96000.0,896111.0,716886.0,557992.0,46564.0,0.06,52000.0,36100.0,80000.0,0.23,0.25
6202.0,ACTUARIAL SCIENCE,Business,2472.0,56.0,2020.0,1725.0,162.0,0.07,110000.0,80000.0,150000.0,7998.0,6666.0,6040.0,266.0,0.04,76000.0,53000.0,125000.0,0.24,0.4474
2502.0,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering,28155.0,521.0,22501.0,19707.0,1296.0,0.05,85000.0,60000.0,110000.0,90886.0,71204.0,62854.0,4210.0,0.06,68000.0,48000.0,92000.0,0.24,0.25
1902.0,JOURNALISM,Communications & Journalism,119953.0,2244.0,91778.0,71683.0,4026.0,0.04,70000.0,46000.0,100000.0,386113.0,287521.0,222172.0,18390.0,0.06,53000.0,36000.0,80100.0,0.24,0.3208
6104.0,MEDICAL ASSISTING SERVICES,Health,18654.0,326.0,14499.0,10826.0,377.0,0.03,80000.0,55000.0,108000.0,59740.0,47608.0,23707.0,1443.0,0.03,56000.0,38000.0,76000.0,0.24,0.4286
2500.0,ENGINEERING TECHNOLOGIES,Engineering,11724.0,219.0,9471.0,7958.0,450.0,0.05,74000.0,48400.0,105000.0,35992.0,29092.0,25129.0,1475.0,0.05,65000.0,40000.0,94000.0,0.25,0.1385
6201.0,ACCOUNTING,Business,569677.0,11774.0,451610.0,384280.0,19729.0,0.04,88000.0,59000.0,131000.0,1708418.0,1282267.0,1065334.0,68954.0,0.05,65000.0,44000.0,100000.0,0.25,0.3538
6000.0,FINE ARTS,Arts,181514.0,2528.0,124246.0,80794.0,8072.0,0.06,58000.0,40000.0,82000.0,541433.0,363977.0,247638.0,26518.0,0.07,46000.0,30000.0,70000.0,0.25,0.2609
6107.0,NURSING,Health,573467.0,10432.0,437115.0,335009.0,9498.0,0.02,84000.0,62000.0,110000.0,1686899.0,1256606.0,909187.0,32472.0,0.03,64000.0,50000.0,80000.0,0.25,0.3125
2105.0,INFORMATION SCIENCES,Computers & Mathematics,25799.0,551.0,22403.0,19028.0,1179.0,0.05,84000.0,62000.0,114000.0,74072.0,63354.0,55946.0,3333.0,0.05,70000.0,48500.0,96000.0,0.26,0.2
