popularity_rank,major_code,major_name,major_course,total_students,sample_size,men,women,sharewomen,employed_grad,full_time,part_time,full_time_year_round,unemployed_grad,unemployment_rate,median_salary,p25th_salary,p75th_salary,college_jobs,non_college_jobs,low_wage_jobs
1.0,2419.0,PETROLEUM ENGINEERING,Engineering,2339.0,36.0,2057.0,282.0,0.12,1976.0,1849.0,270.0,1207.0,37.0,0.02,110000.0,95000.0,125000.0,1534.0,364.0,193.0
2.0,2416.0,MINING AND MINERAL ENGINEERING,Engineering,756.0,7.0,679.0,77.0,0.1,640.0,556.0,170.0,388.0,85.0,0.12,75000.0,55000.0,90000.0,350.0,257.0,50.0
3.0,2415.0,METALLURGICAL ENGINEERING,Engineering,856.0,3.0,725.0,131.0,0.15,648.0,558.0,133.0,340.0,16.0,0.02,73000.0,50000.0,105000.0,456.0,176.0,0.0
4.0,2417.0,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering,1258.0,16.0,1123.0,135.0,0.11,758.0,1069.0,150.0,692.0,40.0,0.05,70000.0,43000.0,80000.0,529.0,102.0,0.0
5.0,2405.0,CHEMICAL ENGINEERING,Engineering,32260.0,289.0,21239.0,11021.0,0.34,25694.0,23170.0,5180.0,16697.0,1672.0,0.06,65000.0,50000.0,75000.0,18314.0,4440.0,972.0
6.0,2418.0,NUCLEAR ENGINEERING,Engineering,2573.0,17.0,2200.0,373.0,0.14,1857.0,2038.0,264.0,1449.0,400.0,0.18,65000.0,50000.0,102000.0,1142.0,657.0,244.0
7.0,6202.0,ACTUARIAL SCIENCE,Business,3777.0,51.0,832.0,960.0,0.54,2912.0,2924.0,296.0,2482.0,308.0,0.1,62000.0,53000.0,72000.0,1768.0,314.0,259.0
8.0,5001.0,ASTRONOMY AND ASTROPHYSICS,Physical Sciences,1792.0,10.0,2110.0,1667.0,0.44,1526.0,1085.0,553.0,827.0,33.0,0.02,62000.0,31500.0,109000.0,972.0,500.0,220.0
9.0,2414.0,MECHANICAL ENGINEERING,Engineering,91227.0,1029.0,12953.0,2105.0,0.14,76442.0,71298.0,13101.0,54639.0,4650.0,0.06,60000.0,48000.0,70000.0,52844.0,16384.0,3253.0
10.0,2408.0,ELECTRICAL ENGINEERING,Engineering,81527.0,631.0,8407.0,6548.0,0.44,61928.0,55450.0,12695.0,41413.0,3895.0,0.06,60000.0,45000.0,72000.0,45829.0,10874.0,3170.0
11.0,2407.0,COMPUTER ENGINEERING,Engineering,41542.0,399.0,33258.0,8284.0,0.2,32506.0,30315.0,5146.0,23621.0,2275.0,0.07,60000.0,45000.0,75000.0,23694.0,5721.0,980.0
12.0,2401.0,AEROSPACE ENGINEERING,Engineering,15058.0,147.0,65511.0,16016.0,0.2,11391.0,11106.0,2724.0,8790.0,794.0,0.07,60000.0,42000.0,70000.0,8184.0,2425.0,372.0
13.0,2404.0,BIOMEDICAL ENGINEERING,Engineering,14955.0,79.0,80320.0,10907.0,0.12,10047.0,9017.0,2694.0,5986.0,1019.0,0.09,60000.0,36000.0,70000.0,6439.0,2471.0,789.0
