popularity_rank,major_code,major_name,major_course,total_students,men,women,sharewomen,median_salary
1.0,2419.0,PETROLEUM ENGINEERING,Engineering,2339.0,2057.0,282.0,0.12,110000.0
2.0,2416.0,MINING AND MINERAL ENGINEERING,Engineering,756.0,679.0,77.0,0.1,75000.0
3.0,2415.0,METALLURGICAL ENGINEERING,Engineering,856.0,725.0,131.0,0.15,73000.0
4.0,2417.0,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering,1258.0,1123.0,135.0,0.11,70000.0
5.0,2418.0,NUCLEAR ENGINEERING,Engineering,2573.0,2200.0,373.0,0.14,65000.0
6.0,2405.0,CHEMICAL ENGINEERING,Engineering,32260.0,21239.0,11021.0,0.34,65000.0
7.0,5001.0,ASTRONOMY AND ASTROPHYSICS,Physical Sciences,1792.0,832.0,960.0,0.54,62000.0
8.0,2414.0,MECHANICAL ENGINEERING,Engineering,91227.0,80320.0,10907.0,0.12,60000.0
9.0,2401.0,AEROSPACE ENGINEERING,Engineering,15058.0,12953.0,2105.0,0.14,60000.0
10.0,2408.0,ELECTRICAL ENGINEERING,Engineering,81527.0,65511.0,16016.0,0.2,60000.0
11.0,2407.0,COMPUTER ENGINEERING,Engineering,41542.0,33258.0,8284.0,0.2,60000.0
12.0,5008.0,MATERIALS SCIENCE,Engineering,4279.0,2949.0,1330.0,0.31,60000.0
13.0,2404.0,BIOMEDICAL ENGINEERING,Engineering,14955.0,8407.0,6548.0,0.44,60000.0
14.0,2409.0,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering,4321.0,3526.0,795.0,0.18,58000.0
15.0,2402.0,BIOLOGICAL ENGINEERING,Engineering,8925.0,6062.0,2863.0,0.32,57100.0
16.0,2412.0,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering,18968.0,12453.0,6515.0,0.34,57000.0
17.0,2400.0,GENERAL ENGINEERING,Engineering,61152.0,45683.0,15469.0,0.25,56000.0
18.0,2403.0,ARCHITECTURAL ENGINEERING,Engineering,2825.0,1835.0,990.0,0.35,54000.0
19.0,2102.0,COMPUTER SCIENCE,Computers & Mathematics,128319.0,99743.0,28576.0,0.22,53000.0
20.0,2502.0,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering,11565.0,8181.0,3384.0,0.29,52000.0
21.0,2413.0,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering,2993.0,2020.0,973.0,0.33,52000.0
22.0,2499.0,MISCELLANEOUS ENGINEERING,Engineering,9133.0,7398.0,1735.0,0.19,50000.0
23.0,2406.0,CIVIL ENGINEERING,Engineering,53153.0,41081.0,12072.0,0.23,50000.0
24.0,2500.0,ENGINEERING TECHNOLOGIES,Engineering,3600.0,2695.0,905.0,0.25,50000.0
25.0,2411.0,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering,720.0,488.0,232.0,0.32,50000.0
26.0,2410.0,ENVIRONMENTAL ENGINEERING,Engineering,4047.0,2662.0,1385.0,0.34,50000.0
27.0,6107.0,NURSING,Health,209394.0,21773.0,187621.0,0.9,48000.0
28.0,2503.0,INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering,4631.0,3477.0,1154.0,0.25,46000.0
29.0,5102.0,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",Physical Sciences,2116.0,528.0,1588.0,0.75,46000.0
30.0,2105.0,INFORMATION SCIENCES,Computers & Mathematics,11913.0,9005.0,2908.0,0.24,45000.0
31.0,2100.0,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics,36698.0,27392.0,9306.0,0.25,45000.0
32.0,5007.0,PHYSICS,Physical Sciences,32142.0,23080.0,9062.0,0.28,45000.0
33.0,3701.0,APPLIED MATHEMATICS,Computers & Mathematics,4939.0,2794.0,2145.0,0.43,45000.0
34.0,3700.0,MATHEMATICS,Computers & Mathematics,72397.0,39956.0,32441.0,0.45,45000.0
35.0,3702.0,STATISTICS AND DECISION SCIENCE,Computers & Mathematics,6251.0,2960.0,3291.0,0.53,45000.0
36.0,3607.0,PHARMACOLOGY,Biology & Life Science,1762.0,515.0,1247.0,0.71,45000.0
37.0,6105.0,MEDICAL TECHNOLOGIES TECHNICIANS,Health,15914.0,3916.0,11998.0,0.75,45000.0
38.0,5006.0,OCEANOGRAPHY,Physical Sciences,2418.0,752.0,1666.0,0.69,44700.0
39.0,2501.0,ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering,2906.0,2400.0,506.0,0.17,44000.0
40.0,4005.0,MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics,609.0,500.0,109.0,0.18,42000.0
41.0,6104.0,MEDICAL ASSISTING SERVICES,Health,11123.0,803.0,10320.0,0.93,42000.0
42.0,2101.0,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics,4168.0,3046.0,1122.0,0.27,41300.0
43.0,4006.0,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science,3831.0,1667.0,2164.0,0.56,41000.0
44.0,2504.0,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering,4790.0,4419.0,371.0,0.08,40000.0
45.0,2599.0,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering,8804.0,7043.0,1761.0,0.2,40000.0
46.0,5000.0,PHYSICAL SCIENCES,Physical Sciences,1436.0,894.0,542.0,0.38,40000.0
47.0,1401.0,ARCHITECTURE,Engineering,46420.0,25463.0,20957.0,0.45,40000.0
48.0,3605.0,GENETICS,Biology & Life Science,3635.0,1761.0,1874.0,0.52,40000.0
49.0,3603.0,MOLECULAR BIOLOGY,Biology & Life Science,18300.0,7426.0,10874.0,0.59,40000.0
50.0,6108.0,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health,23551.0,8697.0,14854.0,0.63,40000.0
51.0,5003.0,CHEMISTRY,Physical Sciences,66530.0,32923.0,33607.0,0.51,39000.0
52.0,3606.0,MICROBIOLOGY,Biology & Life Science,15232.0,6383.0,8849.0,0.58,38000.0
53.0,2106.0,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics,8066.0,6607.0,1459.0,0.18,37500.0
54.0,3601.0,BIOCHEMICAL SCIENCES,Biology & Life Science,39107.0,18951.0,20156.0,0.52,37400.0
55.0,3602.0,BOTANY,Biology & Life Science,1329.0,626.0,703.0,0.53,37000.0
56.0,2107.0,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics,7613.0,5291.0,2322.0,0.31,36400.0
57.0,5004.0,GEOLOGY AND EARTH SCIENCE,Physical Sciences,10972.0,5813.0,5159.0,0.47,36200.0
58.0,5005.0,GEOSCIENCES,Physical Sciences,1978.0,809.0,1169.0,0.59,36000.0
59.0,6199.0,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Health,13386.0,1589.0,11797.0,0.88,36000.0
60.0,1301.0,ENVIRONMENTAL SCIENCE,Biology & Life Science,25965.0,10787.0,15178.0,0.58,35600.0
61.0,5002.0,ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences,4043.0,2744.0,1299.0,0.32,35000.0
62.0,2001.0,COMMUNICATION TECHNOLOGIES,Computers & Mathematics,18035.0,11431.0,6604.0,0.37,35000.0
